--技能的相关文字,这里命名规范一下
--S1L1name其中s1表示是技能1,L1表示是等级1,Name表示是名字,Desc表示说明,其他...
Skill=
{
s0Name="Test",	s0Desc="Test",
s26L3Desc="Powerful Healing spell can restore HP for yourself and players around. Players 3x3 around the mouse pointer will gain 160 HP/s. The higher the Taoist ATK, the longer the spell lasts",
s27L1Desc="Summon an Lv.1 Sacred-beast to fight. You can summon no more than 2 guards. Guard can upgrade to Lv.7. When character is dead or offline, the level of guard will reset.（ctrl+a to control Sacred-beast）",
s27L2Desc="Summon an Lv.2 Sacred-beast to fight. You can summon no more than 2 guards. Guard can upgrade to Lv.7. When character is dead or offline, the level of guard will reset.（ctrl+a to control Sacred-beast）",
s27L3Desc="Summon an Lv.3 Sacred-beast to fight. You can summon no more than 2 guards. Guard can upgrade to Lv.7. When character is dead or offline, the level of guard will reset.（ctrl+a to control Sacred-beast）",




s56L1Desc="Cause 6007 physical damage to targets in 20*20 range， physical and magic defense+5，last for 1 minute. Can be learned at Lv.43. skill book is available in store. When rage value is filled, click the <(c0xFF00FF00)Rage>beside Hp slot or press\<(c0xFF00FF00)D>to release skill. Kill monster with level no less than 9 to you or that with higher level, and you will gain rage. Kill boss to gain more rage",
s56L2Desc="Cause 7547 physical damage to targets in 22*22 range， physical and magic defense+10，last for 1 minute. Can be learned at Lv.48. skill book is available in store. When rage value is filled, click the <(c0xFF00FF00)Rage>beside Hp slot or press\<(c0xFF00FF00)D>to release skill. Kill monster with level no less than 9 to you or that with higher level, and you will gain rage. Kill boss to gain more rage",
s56L3Desc="Cause 8483 physical damage to targets in 24*24 range， physical and magic defense+15，last for 1 minute. Can be learned at Lv. 53. skill book is available in store. When rage value is filled, click the <(c0xFF00FF00)Rage>beside Hp slot or press\<(c0xFF00FF00)D>to release skill. Kill monster with level no less than 9 to you or that with higher level, and you will gain rage. Kill boss to gain more rage",
s56L4Desc="Cause 9413 physical damage to targets in 26*26 range， physical and magic defense+20，last for 1 minute. Can be learned at Lv. 58. skill book is available in store. When rage value is filled, click the <(c0xFF00FF00)Rage>beside Hp slot or press\<(c0xFF00FF00)D>to release skill. Kill monster with level no less than 9 to you or that with higher level, and you will gain rage. Kill boss to gain more rage",
s56L5Desc="Cause 10519 physical damage to targets in 28*28 range， physical and magic defense+30，last for 1 minute. Can be learned at Lv. 63. skill book is available in store. When rage value is filled, click the <(c0xFF00FF00)Rage>beside Hp slot or press\<(c0xFF00FF00)D>to release skill. Kill monster with level no less than 9 to you or that with higher level, and you will gain rage. Kill boss to gain more rage",
s57L1Desc="Cause 6007 magic damage to targets in 20*20 range， physical and magic defense+5，last for 1 minute. Can be learned at Lv.43. skill book is available in store. When rage value is filled, click the <(c0xFF00FF00)Rage>beside Hp slot or press\<(c0xFF00FF00)D>to release skill. Kill monster with level no less than 9 to you or that with higher level, and you will gain rage. Kill boss to gain more rage",
s57L2Desc="Cause 7547 magic damage to targets in 22*22 range， physical and magic defense+10，last for 1 minute. Can be learned at Lv.48. skill book is available in store. When rage value is filled, click the <(c0xFF00FF00)Rage>beside Hp slot or press\<(c0xFF00FF00)D>to release skill. Kill monster with level no less than 9 to you or that with higher level, and you will gain rage. Kill boss to gain more rage",
s57L3Desc="Cause 8483 magic damage to targets in 24*24 range， physical and magic defense+15，last for 1 minute. Can be learned at Lv. 53. skill book is available in store. When rage value is filled, click the <(c0xFF00FF00)Rage>beside Hp slot or press\<(c0xFF00FF00)D>to release skill. Kill monster with level no less than 9 to you or that with higher level, and you will gain rage. Kill boss to gain more rage",
s57L4Desc="Cause 9413 magic damage to targets in 26*26 range， physical and magic defense+20，last for 1 minute. Can be learned at Lv. 58. skill book is available in store. When rage value is filled, click the <(c0xFF00FF00)Rage>beside Hp slot or press\<(c0xFF00FF00)D>to release skill. Kill monster with level no less than 9 to you or that with higher level, and you will gain rage. Kill boss to gain more rage",
s57L5Desc="Cause 10519 magic damage to targets in 28*28 range， physical and magic defense+30，last for 1 minute. Can be learned at Lv. 63. skill book is available in store. When rage value is filled, click the <(c0xFF00FF00)Rage>beside Hp slot or press\<(c0xFF00FF00)D>to release skill. Kill monster with level no less than 9 to you or that with higher level, and you will gain rage. Kill boss to gain more rage",
s58L1Desc="Cause 6007 spirit damage to targets in 20*20 range， physical and magic defense+5，last for 1 minute. Can be learned at Lv.43. skill book is available in store. When rage value is filled, click the <(c0xFF00FF00)Rage>beside Hp slot or press\<(c0xFF00FF00)D>to release skill. Kill monster with level no less than 9 to you or that with higher level, and you will gain rage. Kill boss to gain more rage",
s58L2Desc="Cause 7547 spirit damage to targets in 22*22 range， physical and magic defense+10，last for 1 minute. Can be learned at Lv.48. skill book is available in store. When rage value is filled, click the <(c0xFF00FF00)Rage>beside Hp slot or press\<(c0xFF00FF00)D>to release skill. Kill monster with level no less than 9 to you or that with higher level, and you will gain rage. Kill boss to gain more rage",
s58L3Desc="Cause 8483 spirit damage to targets in 24*24 range， physical and magic defense+15，last for 1 minute. Can be learned at Lv. 53. skill book is available in store. When rage value is filled, click the <(c0xFF00FF00)Rage>beside Hp slot or press\<(c0xFF00FF00)D>to release skill. Kill monster with level no less than 9 to you or that with higher level, and you will gain rage. Kill boss to gain more rage",
s58L4Desc="Cause 9413 spirit damage to targets in 26*26 range， physical and magic defense+20，last for 1 minute. Can be learned at Lv. 58. skill book is available in store. When rage value is filled, click the <(c0xFF00FF00)Rage>beside Hp slot or press\<(c0xFF00FF00)D>to release skill. Kill monster with level no less than 9 to you or that with higher level, and you will gain rage. Kill boss to gain more rage",
s58L5Desc="Cause 10519 spirit damage to targets in 28*28 range， physical and magic defense+30，last for 1 minute. Can be learned at Lv. 63. skill book is available in store. When rage value is filled, click the <(c0xFF00FF00)Rage>beside Hp slot or press\<(c0xFF00FF00)D>to release skill. Kill monster with level no less than 9 to you or that with higher level, and you will gain rage. Kill boss to gain more rage",

s80L1Desc="Attack targets in the 2 step ahead. Cause 100% physical damage to the first target and 60% unavoidable damage to the second target",
s80L2Desc="Attack targets in the 2 step ahead. Cause 100% physical damage to the first target and 70% unavoidable damage to the second target",
s80L3Desc="Attack targets in the 2 step ahead. Cause 100% physical damage to the first target and 80% unavoidable damage to the second target",
s80L4Desc="Attack targets in the 2 step ahead. Cause 100% physical damage to the first target and 90% unavoidable damage to the second target",
s80L5Desc="Attack targets in the 2 step ahead. Cause 100% physical damage to the first target and 100% unavoidable damage to the second target",
s81L1Desc="Cause 100% damage to the target and 20% damage to enemies around.",
s81L2Desc="Cause 100% damage to the target and 27% damage to enemies around.",
s81L3Desc="Cause 100% damage to the target and 34% damage to enemies around.",
s81L4Desc="Cause 100% damage to the target and 42% damage to enemies around.",
s81L5Desc="Cause 100% damage to the target and 50% damage to enemies around.",
s82L1Desc="Cause 240% damage on the next attack, CD:10s",
s82L2Desc="Cause 270% damage on the next attack, CD:10s",
s82L3Desc="Cause 300% damage on the next attack, CD:10s",
s82L4Desc="Cause 330% damage on the next attack, CD:10s",
s82L5Desc="Cause 360% damage on the next attack, CD:10s",
s83L1Desc="Attack all targets around hero( Range:9x9), cause 50% physical attack and decrease target’s max Physical attack by 60, last for 5s.CD:30s",
s83L2Desc="Attack all targets around hero( Range:9x9), cause 55% physical attack and decrease target’s max Physical attack by 70, last for 5s.CD:30s",
s83L3Desc="Attack all targets around hero( Range:9x9), cause 60% physical attack and decrease target’s max Physical attack by 80, last for 5s.CD:30s",
s83L4Desc="Attack all targets around hero( Range:9x9), cause 65% physical attack and decrease target’s max Physical attack by 90, last for 5s.CD:30s",
s83L5Desc="Attack all targets around hero( Range:9x9), cause 70% physical attack and decrease target’s max Physical attack by 100, last for 5s.CD:30s",
s84L1Desc="Summon lightning to attack targets. Cause 80% magic attack and 65 magic damage",
s84L2Desc="Summon lightning to attack targets. Cause 85% magic attack and 80 magic damage",
s84L3Desc="Summon lightning to attack targets. Cause 90% magic attack and 95 magic damage",
s84L4Desc="Summon lightning to attack targets. Cause 95% magic attack and 110 magic damage",
s84L5Desc="Summon lightning to attack targets. Cause 100% magic attack and 125 magic damage",
s85L1Desc="Hero skill, cause 80% magic attack and 160 magic damage to targets within 3x3, CD:5s",
s85L2Desc="Hero skill, cause 85% magic attack and 184 magic damage to targets within 3x3, CD:5s",
s85L3Desc="Hero skill, cause 90% magic attack and 208 magic damage to targets within 3x3, CD:5s",
s85L4Desc="Hero skill, cause 95% magic attack and 232 magic damage to targets within 3x3, CD:5s",
s85L5Desc="Hero skill, cause 100% magic attack and 256 magic damage to targets within 3x3, CD:5s",
s86L1Desc="Summon a Magic Armor that decreases physical attack and magic attack by 24% for 20s. CD:5s",
s86L2Desc="Summon a Magic Armor that decreases physical attack and magic attack by 28% for 30s. CD:5s",
s86L3Desc="Summon a Magic Armor that decreases physical attack and magic attack by 32% for 40s. CD:5s",
s86L4Desc="Summon a Magic Armor that decreases physical attack and magic attack by 36% for 50s. CD:5s",
s86L5Desc="Summon a Magic Armor that decreases physical attack and magic attack by 40% for 60s. CD:5s",
s87L1Desc="Attack all targets around hero( Range:9x9), cause 50% magic attack and decrease target’s max magic attack by 60, last for 5s.CD:30s",
s87L2Desc="Attack all targets around hero( Range:9x9), cause 55% magic attack and decrease target’s max magic attack by 70, last for 5s.CD:30s",
s87L3Desc="Attack all targets around hero( Range:9x9), cause 60% magic attack and decrease target’s max magic attack by 80, last for 5s.CD:30s",
s87L4Desc="Attack all targets around hero( Range:9x9), cause 65% magic attack and decrease target’s max magic attack by 90, last for 5s.CD:30s",
s87L5Desc="Attack all targets around hero( Range:9x9), cause 70% magic attack and decrease target’s max magic attack by 100, last for 5s.CD:30s",
s88L1Desc="Ranged Spell, use Defense Charm to attack enemy. Cause 80% Taoist Attack Damage and 50 damage",
s88L2Desc="Ranged Spell, use Defense Charm to attack enemy. Cause 85% Taoist Attack Damage and 65 damage",
s88L3Desc="Ranged Spell, use Defense Charm to attack enemy. Cause 90% Taoist Attack Damage and 80 damage",
s88L4Desc="Ranged Spell, use Defense Charm to attack enemy. Cause 95% Taoist Attack Damage and 95 damage",
s88L5Desc="Ranged Spell, use Defense Charm to attack enemy. Cause 100% Taoist Attack Damage and 110 damage",
s89L1Desc="In fight, cast a cure spell to itself and its master to revive 80 HP every 8s, CD: 30s",
s89L2Desc="In fight, cast a cure spell to itself and its master to revive 100 HP every 10s, CD: 28s",
s89L3Desc="In fight, cast a cure spell to itself and its master to revive 120 HP every 12s, CD: 26s",
s89L4Desc="In fight, cast a cure spell to itself and its master to revive 150 HP every 14s, CD: 24s",
s89L5Desc="In fight, cast a cure spell to itself and its master to revive 200 HP every 16s, CD: 22s",
s90L1Desc="In fight, improve 15 Max Magic and Physical Defense for 20s, CD:20s,",
s90L2Desc="In fight, improve 30 Max Magic and Physical Defense for 30s, CD:20s,　",
s90L3Desc="In fight, improve 45 Max Magic and Physical Defense for 40s, CD:20s,",
s90L4Desc="In fight, improve 60 Max Magic and Physical Defense for 50s, CD:20s,　",
s90L5Desc="In fight, improve 80 Max Magic and Physical Defense for 60s, CD:20s,　",
s91L1Desc="Attack all targets around hero( Range:9x9), cause 50% Taoist ATK and decrease target’s max Taoist ATK by 60, last for 5s.CD:30s",
s91L2Desc="Attack all targets around hero( Range:9x9), cause 55% Taoist ATK and decrease target’s max Taoist ATK by 70, last for 5s.CD:30s",
s91L3Desc="Attack all targets around hero( Range:9x9), cause 60% Taoist ATK and decrease target’s max Taoist ATK by 80, last for 5s.CD:30s",
s91L4Desc="Attack all targets around hero( Range:9x9), cause 65% Taoist ATK and decrease target’s max Taoist ATK by 90, last for 5s.CD:30s",
s91L5Desc="Attack all targets around hero( Range:9x9), cause 70% Taoist ATK and decrease target’s max Taoist ATK by 100, last for 5s.CD:30s",
s92L1Desc="When hero is fighting, add 3% HP and MP to character and Hero",
s92L2Desc="When hero is fighting, add 6% HP and MP to character and Hero",
s92L3Desc="When hero is fighting, add 9% HP and MP to character and Hero",
s92L4Desc="When hero is fighting, add 12% HP and MP to character and Hero",
s92L5Desc="When hero is fighting, add 15% HP and MP to character and Hero",
s93L1Desc="When hero is fighting, add 25 Max Defense to character and Hero",
s93L2Desc="When hero is fighting, add 35 Max Defense to character and Hero",
s93L3Desc="When hero is fighting, add 50 Max Defense to character and Hero",
s93L4Desc="When hero is fighting, add 70 Max Defense to character and Hero",
s93L5Desc="When hero is fighting, add 100 Max Defense to character and Hero",
s94L1Desc="When hero is fighting, add 10 Max Defense to character and Hero",
s94L2Desc="When hero is fighting, add 15 Max Defense to character and Hero",
s94L3Desc="When hero is fighting, add 20 Max Defense to character and Hero",
s94L4Desc="When hero is fighting, add 35 Max Defense to character and Hero",
s94L5Desc="When hero is fighting, add 50 Max Defense to character and Hero",


s96L1Desc="Riding skill, avoid active attack from totem",
s97L1Desc="Riding skill, speed yourself up",
s98L1Desc="Riding skill, dismount targets 3X3 around and slow them down",


s137L1Desc="Gain 1 heroic luck passively",
s137L2Desc="Gain 2 heroic luck passively",
s137L3Desc="Gain 3 heroic luck passively",
s137L4Desc="Gain 4 heroic luck passively",
s137L5Desc="Gain 5 heroic luck passively",
s141L1Desc="Gain 10% more EXP for hero, the effect can overlay with other BUFF",
s141L2Desc="Gain 15% more EXP for hero, the effect can overlay with other BUFF",
s141L3Desc="Gain 20% more EXP for hero, the effect can overlay with other BUFF",
s141L4Desc="Gain 27% more EXP for hero, the effect can overlay with other BUFF",
s141L5Desc="Gain 35% more EXP for hero, the effect can overlay with other BUFF",

s159L1Desc="Powerful soldiers agglomerate a shield to decrease 24% injury. Elimination and immunization [slowing material] brings deceleration effect which lasts for 20 seconds, and it can compound skill book to advanced skill and upgrade skill with advanced skill book in material compound function.！",
s159L2Desc=" Powerful soldiers agglomerate a shield to decrease 32% injury. Elimination and immunization [slowing material] brings deceleration effect which lasts for 20 seconds, and it can compound skill book to advanced skill in material compound function and upgrade skill with advanced skill book in material compound function！",
s159L3Desc="Powerful soldiers agglomerate a shield to decrease 40% injury. Elimination and immunization [slowing material] brings deceleration effect which lasts for 20 seconds",
s160L1Desc=" Mysterious magic skill can cause 120% magic injury and decrease 10% magic evasion of target, and simultaneously deduct 0.5% max mana of target every second lasting for 15 seconds. It can compound skill book to advanced skill and upgrade skill with advanced skill book in material compound function！",
s160L2Desc=" Mysterious magic skill can cause 135% magic injury and decrease 15% magic evasion of target, and simultaneously deduct 0.7% max mana of target every second lasting for 15 seconds. It can compound skill book to advanced skill and upgrade skill with advanced skill book. in material compound function！",
s160L3Desc=" Mysterious magic skill can cause 150% magic injury and decrease 20% magic evasion of target, and simultaneously deduct 1% max mana of target every second lasting for 15 seconds",
s161L1Desc=" Malicious curse can absorb energy from target to cause 120% Taoist magic arts injury, simultaneously decreases 100 points and 5% attack on Taoist magic arts injury of target and curse itself can increase corresponding maximum skill attack for 15 seconds. It can compound skill book to advanced skill and upgrade skill with advanced skill book. in material compound function！",
s161L2Desc="Malicious curse can absorb energy from target to cause 135% Taoist magic arts injury, simultaneously decreases 200 points and 7% attack on Taoist magic arts injury of target and curse itself can increase corresponding maximum skill attack for 15 seconds. It can compound skill book to advanced skill and upgrade skill with advanced skill book. in material compound function！",
s161L3Desc=" Malicious curse can absorb energy from target to cause 150Taoist magic arts injury, simultaneously decreases 300 points and 10% attack on Taoist magic arts injury of target and curse itself can increase corresponding maximum skill attack for 15 seconds.",
--法宝技能
magicskill1=" Decrease injury when attacked <(c0xFF00FF00)$1$ >, will have,<(c0xFF00FF00)5% probability > triggering, the higher the magic level is, the more the decreased injuries are ",
magicskill2="Increase injury when attacking\\<(c0xFF00FF00)$2$ point>, will have,<(c0xFF00FF00)5% \\probability > triggering, the higher\\the magic level is, the more\\ the increased injuries are ",
magicskill3=" Ignore defense of target when attacking <(c0xFF00FF00)$2$ point>, will have <(c0xFF00FF00)5% probability > triggering, the higher the magic level is, the more the ignored defenses are ",


}
